"Product","ID","Count","Group"
"large font",NA,19,"General"
"Bible Lesson",NA,549,"BLP"
"Bible lesson",NA,214,"BLP"
"Bible Lesson Express",NA,6,"BLP"
"BLP",NA,4,"BLP"
"CD Edition",NA,2,"BLP"
"eBible",NA,157,"BLP"
"eBible Lesson",NA,39,"BLP"
"ebible lessons",NA,3,"BLP"
"eBibleLesson",NA,81,"BLP"
"ebiblelesson",NA,48,"BLP"
"ebiblesson",NA,1,"BLP"
"full text",NA,83,"BLP"
"Lesson",NA,777,"BLP"
"lesson",NA,985,"BLP"
"Quarterly",NA,1006,"BLP"
"Concord",NA,151,"Concord"
"Concord Express",NA,4,"Concord"
"ConcordExpress",NA,0,"Concord"
"Condcord",NA,1,"Concord"
"ChristianScience.com",NA,406,"cs.com"
"christianscience.com",NA,642,"cs.com"
"CS.com",NA,6,"cs.com"
"cs.com",NA,30,"cs.com"
"web site",NA,31,"cs.com"
"website",NA,446,"cs.com"
"csmonitor.com",NA,547,"CSM"
"Monitor Daily",NA,477,"CSM"
"Monitor daily",NA,8,"CSM"
"monitor daily",NA,14,"CSM"
"Monitors",NA,19,"CSM"
"monitors",NA,26,"CSM"
"weekly print",NA,60,"CSM"
"Daily Lift",NA,686,"Dlift"
"daily lift",NA,110,"Dlift"
"DailyLift@christianscience.com",NA,238,"Dlift"
"browser",NA,1173,"General"
"ebook",NA,123,"General"
"eBook",NA,6,"General"
"Ebook",NA,2,"General"
"Kindle",NA,46,"General"
"kindle",NA,10,"General"
"larger font",NA,8,"General"
"pdf",NA,76,"General"
"PDF",NA,121,"General"
"Playstore",NA,1,"General"
"Bible Lens",NA,117,"JSH"
"Herald",NA,97,"JSH"
"herald",NA,15,"JSH"
"Journal",NA,374,"JSH"
"journal",NA,176,"JSH"
"JSH",NA,632,"JSH"
"JSH Online",NA,47,"JSH"
"JSH online",NA,75,"JSH"
"JSH-Onliine",NA,0,"JSH"
"JSH-online",NA,43,"JSH"
"Sentinel",NA,609,"JSH"
"sentinel",NA,118,"JSH"
"SentinelWatch",NA,1,"JSH"
"service",NA,2045,"Online Services"
"services",NA,205,"Online Services"
"Sunday",NA,279,"Online Services"
"Wednesday",NA,155,"Online Services"
"Service",NA,482,"Online Services"
"Services",NA,45,"Online Services"
