Product,ID,Group,Include
Annual Meeting,,OLEvents,X
annual meeting,,OLEvents,X
archive radio,,Sentinel,X
Archive Radio,,Sentinel,X
audio products,,cs.com,X
Audio Products/Store,,cs.com,X
audio products/store,,cs.com,X
Bible Lens,,JSH,
Bible Lesson,,BLP,X
Bible lesson,,BLP,X
Bible Lesson Express,,BLP,X
BLP,,BLP,X
browser,,General,
CD Edition,,BLP,X
ChristianScience.com,,cs.com,X
christianscience.com,,cs.com,X
Concord,,Concord,
Concord Express,,Concord,X
ConcordExpress,,Concord,X
CS perspective,,CSM,X
CS.com,,cs.com,X
cs.com,,cs.com,X
csmonitor.com,,CSM,X
Daily Lift,,Dlift,X
daily lift,,Dlift,X
DailyLift@christianscience.com,,Dlift,X
eBible,,BLP,X
eBible Lesson,,BLP,X
ebible lessons,,BLP,X
eBibleLesson,,BLP,X
ebiblelesson,,BLP,X
ebiblesson,,BLP,X
EBL express,,BLP,X
ebook,,eBooks,
eBook,,eBooks,
Ebook,,eBooks,
full text,,BLP,
Herald,,Herald,X
herald,,Herald,X
hymn stream,,Concord,X
Hymn Stream,,Concord,X
Hymns,,Concord,X
hymns,,Concord,X
Journal,,Journal,X
journal,,Journal,X
JSH,,JSH,X
JSH Online,,JSH,X
JSH online,,JSH,X
JSH-Onliine,,JSH,X
JSH-online,,JSH,X
Kindle,,eBooks,
kindle,,eBooks,
large font,,General,
larger font,,General,
lectures,,OLEvents,X
Lectures,,OLEvents,X
Lesson,,BLP,X
lesson,,BLP,X
Monitor Daily,,CSM,X
Monitor daily,,CSM,X
monitor daily,,CSM,X
Monitors,,CSM,X
monitors,,CSM,X
Pandemic Support,,cs.com,X
pandemic support,,cs.com,X
pdf,,General,
PDF,,General,
Perception Gaps,,CSM,X
perception gaps,,CSM,X
Playstore,,General,X
Quarterly,,BLP,X
Rapid Respons to the news,,CSM,X
Rapid Response to the News,,CSM,X
rapid response to the news,,CSM,X
Rethinking the News,,CSM,X
rethinking the news,,CSM,X
S&H stream,,cs.com,X
Seekers and Scholars,,OLEvents,X
seekers and scholars,,OLEvents,X
Sentinel,,Sentinel,X
sentinel,,Sentinel,X
Sentinel Watch,,Sentinel,X
Sentinel Watch,,Sentinel,X
SentinelWatch,,Sentinel,X
service,,OLEvents,X
Service,,OLEvents,X
services,,OLEvents,X
Services,,OLEvents,X
Spanish Bible Lesson,,BLP,X
Sunday,,OLEvents,X
web site,,cs.com,X
website,,cs.com,X
Wednesday,,OLEvents,X
weekly print,,CSM,X
